"Minority","Female","callback","Company_anonymous","Industry_broad","Employees","Private","Language_important"
1,1,0,"a83","Construction & Extraction",58,1,1
1,1,0,"a84","Construction & Extraction",93,1,1
0,1,1,"a85","Retail",64,1,1
0,1,0,"a86","Education",50,0,1
1,1,0,"a87","Education",50,0,1
1,1,1,"a88","Education",53,0,1
0,1,0,"a89","Administrative support",3,1,1
0,0,1,"a9","Health care",25,0,0
0,1,1,"a90","Administrative support",15,1,1
1,1,0,"a91","Administrative support",73,1,1
0,1,0,"a92","Administrative support",123,0,1
1,1,0,"a93","Administrative support",25,0,1
0,1,0,"a94","Education",30,0,1
1,1,0,"a95","Education",30,0,1
1,1,0,"a96","Retail",5,0,0
1,1,0,"a97","Retail",25,1,1
0,1,0,"a98","Retail",7,1,1
0,1,0,"a99","Health care",5,1,0
